"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9570437717691,40.7948509408039,"37E-PM-1006-03","PM",10062018,"Adult","Gray","running","runs away","POINT (-73.9570437717691 40.794850940803904)"
-73.9768311751004,40.7667178072558,"2E-AM-1010-03","AM",10102018,"Adult","Cinnamon","climbing","indifferent","POINT (-73.9768311751004 40.76671780725581)"
-73.9757249834141,40.7697032606755,"5D-PM-1018-05","PM",10182018,"Juvenile","Gray","climbing","runs away","POINT (-73.9757249834141 40.7697032606755)"
-73.9719735582476,40.7693045133578,"6G-PM-1020-02","PM",10202018,"Adult","Gray","running","indifferent","POINT (-73.9719735582476 40.7693045133578)"
-73.9770718586754,40.7729752391435,"7B-AM-1008-09","AM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9770718586754 40.7729752391435)"
-73.9596413903948,40.7903128889029,"32E-PM-1017-14","PM",10172018,"Adult","Gray","eating","runs away","POINT (-73.9596413903948 40.7903128889029)"
-73.9683613516225,40.7725908847499,"11H-AM-1010-03","AM",10102018,"Adult","Cinnamon","foraging","indifferent","POINT (-73.9683613516225 40.7725908847499)"
-73.9582694312289,40.7917367820255,"33F-AM-1008-02","AM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9582694312289 40.7917367820255)"
-73.9722500196844,40.7742879599026,"11D-AM-1010-03","AM",10102018,"Adult","Gray","climbing","indifferent","POINT (-73.9722500196844 40.7742879599026)"
-73.9695063535333,40.7823507678183,"20B-PM-1013-05","PM",10132018,"Adult","Gray","foraging","indifferent","POINT (-73.9695063535333 40.7823507678183)"
-73.9532170504865,40.7919669739962,"36I-PM-1007-01","PM",10072018,"Adult","Gray","foraging","indifferent","POINT (-73.9532170504865 40.7919669739962)"
-73.9706105896967,40.7698124821507,"7H-AM-1006-05","AM",10062018,"Adult","Gray","chasing","indifferent","POINT (-73.9706105896967 40.7698124821507)"
-73.9703781726172,40.7787526130321,"16C-PM-1018-03","PM",10182018,"Adult","Gray","running","indifferent","POINT (-73.9703781726172 40.7787526130321)"
-73.9703925210471,40.7765032004992,"14E-AM-1008-23","AM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9703925210471 40.7765032004992)"
-73.9638179439747,40.7924173263904,"32A-PM-1013-03","PM",10132018,"Juvenile","Gray","eating","indifferent","POINT (-73.9638179439747 40.7924173263904)"
-73.9671130680114,40.7784859700171,"17F-AM-1007-07","AM",10072018,"Adult","Gray","running","indifferent","POINT (-73.9671130680114 40.7784859700171)"
-73.9649866016038,40.7764929694457,"16I-AM-1008-01","AM",10082018,"Adult","Cinnamon","foraging","indifferent","POINT (-73.9649866016038 40.7764929694457)"
-73.958736593111,40.7908524370626,"32F-PM-1008-07","PM",10082018,"Adult","Gray","running","indifferent","POINT (-73.958736593111 40.7908524370626)"
-73.9704402681017,40.7798965621203,"17C-PM-1013-05","PM",10132018,"Adult","Gray","eating","indifferent","POINT (-73.9704402681017 40.77989656212031)"
-73.9756976076707,40.7753897331918,"10A-PM-1014-01","PM",10142018,"Adult","Gray","foraging","indifferent","POINT (-73.9756976076707 40.7753897331918)"
-73.9662438996681,40.7890381809441,"28A-PM-1007-05","PM",10072018,"Adult","Cinnamon","running","runs away","POINT (-73.9662438996681 40.7890381809441)"
-73.9742073452913,40.7757957380463,"12B-AM-1007-01","AM",10072018,"Adult","Gray","chasing","indifferent","POINT (-73.9742073452913 40.7757957380463)"
-73.9535410657077,40.7928711760061,"36H-PM-1008-02","PM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9535410657077 40.79287117600611)"
-73.9639159298446,40.7891774637988,"29C-AM-1007-06","AM",10072018,"Adult","Gray","running","runs away","POINT (-73.9639159298446 40.7891774637988)"
-73.9579564338627,40.7959337795027,"38C-PM-1014-09","PM",10142018,"Adult","Black","eating","approaches","POINT (-73.9579564338627 40.7959337795027)"
-73.9574648097543,40.7892508428622,"31H-PM-1008-02","PM",10082018,"Juvenile","Gray","running","indifferent","POINT (-73.9574648097543 40.78925084286221)"
-73.970252675331,40.7705999588222,"8H-AM-1017-06","AM",10172018,"Adult","Gray","chasing","indifferent","POINT (-73.970252675331 40.77059995882221)"
-73.9579645940414,40.7918613498407,"34F-AM-1007-01","AM",10072018,"Adult","Gray","running","runs away","POINT (-73.9579645940414 40.7918613498407)"
-73.9673253417305,40.7749505252981,"13H-PM-1010-02","PM",10102018,"Adult","Gray","foraging","indifferent","POINT (-73.9673253417305 40.7749505252981)"
-73.9640032826529,40.7820309825448,"22F-PM-1014-06","PM",10142018,"Adult","Gray","running","indifferent","POINT (-73.9640032826529 40.7820309825448)"
-73.9680635070949,40.779249873647,"17E-AM-1017-05","AM",10172018,"Adult","Black","foraging","indifferent","POINT (-73.9680635070949 40.779249873647)"
-73.9584970643213,40.7982886348696,"40B-AM-1019-03","AM",10192018,"Juvenile","Gray","running","approaches","POINT (-73.9584970643213 40.7982886348696)"
-73.9760298241178,40.7681954366911,"3E-PM-1008-07","PM",10082018,"Adult","Gray","eating","indifferent","POINT (-73.9760298241178 40.7681954366911)"
-73.9568802149818,40.7972399133816,"39C-PM-1006-01","PM",10062018,"Adult","Gray","running","indifferent","POINT (-73.9568802149818 40.7972399133816)"
